sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB118	0.05	NC_000962.3	1	4411532	12959	102591	2.32552	0.289969	39.6	60
Yale-TB118	0.125	NC_000962.3	1	4411532	32344	216946	4.9177	0.724808	39.6	60
Yale-TB118	0.1	NC_000962.3	1	4411532	25851	181037	4.10372	0.579399	39.6	60
Yale-TB118	0.25	NC_000962.3	1	4411532	64367	372716	8.44867	1.44359	39.6	60
Yale-TB118	0.5	NC_000962.3	1	4411532	128672	627607	14.2265	2.88575	39.6	60
Yale-TB118	1.0	NC_000962.3	1	4411532	257760	1006355	22.8119	5.78099	39.6	60
Yale-TB126	0.05	NC_000962.3	1	4411532	154	12881	0.291985	0.00424342	39.4	60
Yale-TB126	0.125	NC_000962.3	1	4411532	447	36703	0.831979	0.0125222	39.5	60
Yale-TB126	0.1	NC_000962.3	1	4411532	328	27454	0.622323	0.00919907	39.4	60
Yale-TB126	0.25	NC_000962.3	1	4411532	847	68637	1.55585	0.0237634	39.5	60
Yale-TB126	0.5	NC_000962.3	1	4411532	1739	132537	3.00433	0.0486833	39.5	60
Yale-TB126	1.0	NC_000962.3	1	4411532	3433	247923	5.61988	0.0965918	39.5	60
Yale-TB148	0.05	NC_000962.3	1	4411532	6	486	0.0110166	0.000176583	39.5	60
Yale-TB148	0.125	NC_000962.3	1	4411532	10	819	0.018565	0.000279721	39.5	60
Yale-TB148	0.1	NC_000962.3	1	4411532	10	819	0.018565	0.000279721	39.5	60
Yale-TB148	0.25	NC_000962.3	1	4411532	21	1613	0.0365633	0.000527708	39.3	60
Yale-TB148	0.5	NC_000962.3	1	4411532	38	2528	0.0573044	0.000903994	39.3	60
Yale-TB148	1.0	NC_000962.3	1	4411532	77	4689	0.10629	0.00185944	39.5	60
Yale-TB130	0.05	NC_000962.3	1	4411532	610594	3466862	78.5864	17.5448	39.6	60
Yale-TB130	0.125	NC_000962.3	1	4411532	1525473	3965434	89.8879	43.8252	39.6	60
Yale-TB130	0.1	NC_000962.3	1	4411532	1220338	3871139	87.7504	35.055	39.6	60
Yale-TB130	0.25	NC_000962.3	1	4411532	3051289	4155789	94.2029	87.6507	39.6	60
Yale-TB130	0.5	NC_000962.3	1	4411532	6099432	4250147	96.3417	175.197	39.6	60
Yale-TB130	1.0	NC_000962.3	1	4411532	12205092	4299632	97.4635	350.561	39.6	60
Yale-TB128	0.05	NC_000962.3	1	4411532	141650	2312121	52.4108	4.05131	39.6	60
Yale-TB128	0.125	NC_000962.3	1	4411532	352963	3167037	71.79	10.0979	39.5	60
Yale-TB128	0.1	NC_000962.3	1	4411532	283050	2976357	67.4677	8.09732	39.5	60
Yale-TB128	0.25	NC_000962.3	1	4411532	706483	3661662	83.0021	20.2058	39.5	60
Yale-TB128	0.5	NC_000962.3	1	4411532	1414511	3971710	90.0302	40.4559	39.5	60
Yale-TB128	1.0	NC_000962.3	1	4411532	2823873	4129451	93.6058	80.7514	39.5	60
Yale-TB123	0.05	NC_000962.3	1	4411532	92	2698	0.0611579	0.00231643	39.7	60
Yale-TB123	0.125	NC_000962.3	1	4411532	235	4798	0.10876	0.00574608	39.7	60
Yale-TB123	0.1	NC_000962.3	1	4411532	183	4059	0.0920089	0.00448098	39.7	60
Yale-TB123	0.25	NC_000962.3	1	4411532	467	7528	0.170644	0.0116114	39.7	60
Yale-TB123	0.5	NC_000962.3	1	4411532	932	10786	0.244496	0.0231085	39.6	60
Yale-TB123	1.0	NC_000962.3	1	4411532	1867	15955	0.361666	0.0466069	39.7	60
Yale-TB122	0.05	NC_000962.3	1	4411532	40566	1198545	27.1685	1.14001	39.6	60
Yale-TB122	0.125	NC_000962.3	1	4411532	102727	2082700	47.2104	2.88124	39.6	60
Yale-TB122	0.1	NC_000962.3	1	4411532	82071	1849936	41.9341	2.3033	39.6	60
Yale-TB122	0.25	NC_000962.3	1	4411532	206845	2835473	64.2741	5.80021	39.6	60
Yale-TB122	0.5	NC_000962.3	1	4411532	413044	3459140	78.4113	11.5909	39.6	60
Yale-TB122	1.0	NC_000962.3	1	4411532	826225	3857204	87.4346	23.1857	39.6	60
Yale-TB116	0.05	NC_000962.3	1	4411532	491	41126	0.932239	0.014188	39.5	60
