sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB160	1.0	NC_000962.3	1	4411532	17706088	3875119	87.8407	518.699	39.5	60
Yale-TB161	1.0	NC_000962.3	1	4411532	23307331	4314223	97.7942	698.17	39.5	60
Yale-TB162	1.0	NC_000962.3	1	4411532	12931029	4246912	96.2684	383.064	39.5	60
Yale-TB163	1.0	NC_000962.3	1	4411532	24006624	4325745	98.0554	709.005	39.5	60
Yale-TB164	1.0	NC_000962.3	1	4411532	12477026	4299053	97.4503	369.242	39.5	60
Yale-TB165	1.0	NC_000962.3	1	4411532	5687659	1485013	33.6621	161.01	39.6	60
Yale-TB166	1.0	NC_000962.3	1	4411532	564341	3478380	78.8474	14.861	39.6	60
Yale-TB167	1.0	NC_000962.3	1	4411532	22396761	4250606	96.3522	663.858	39.5	60
Yale-TB168	1.0	NC_000962.3	1	4411532	17533361	4290903	97.2656	519.974	39.5	60
Yale-TB169	1.0	NC_000962.3	1	4411532	9460128	4268024	96.747	281.698	39.5	60
Yale-TB170	1.0	NC_000962.3	1	4411532	21871679	4317989	97.8796	650.246	39.5	60
Yale-TB171	1.0	NC_000962.3	1	4411532	35475733	4330633	98.1662	1057.5	39.5	60
Yale-TB172	1.0	NC_000962.3	1	4411532	8582413	3876601	87.8743	248.457	39.5	60
Yale-TB173	1.0	NC_000962.3	1	4411532	7179363	2515091	57.0117	196.008	39.6	60
Yale-TB174	1.0	NC_000962.3	1	4411532	7746608	4284595	97.1226	229.292	39.5	60
Yale-TB175	1.0	NC_000962.3	1	4411532	7083106	1491694	33.8135	193.787	39.6	60
Yale-TB176	1.0	NC_000962.3	1	4411532	91476	1131924	25.6583	2.39326	39.6	60
Yale-TB177	1.0	NC_000962.3	1	4411532	867329	2571482	58.29	22.3966	39.5	60
Yale-TB178	1.0	NC_000962.3	1	4411532	27341768	4305933	97.6063	811.033	39.5	60
Yale-TB179	1.0	NC_000962.3	1	4411532	12772952	2429093	55.0623	361.425	39.6	60
Yale-TB180	1.0	NC_000962.3	1	4411532	176	2695	0.0610899	0.00447736	39.5	60
Yale-TB181	1.0	NC_000962.3	1	4411532	282	22096	0.500869	0.00832999	39.6	60
Yale-TB182	1.0	NC_000962.3	1	4411532	1273	102345	2.31994	0.0378204	39.5	60
Yale-TB183	1.0	NC_000962.3	1	4411532	812	64877	1.47062	0.0234925	39.6	60
Yale-TB184	1.0	NC_000962.3	1	4411532	1665	131238	2.97488	0.0482445	39.5	60
Yale-TB185	1.0	NC_000962.3	1	4411532	2655	204129	4.62717	0.0773947	39.5	60
Yale-TB186	1.0	NC_000962.3	1	4411532	2922	222032	5.03299	0.0842422	39.5	60
Yale-TB187	1.0	NC_000962.3	1	4411532	2679	207078	4.69402	0.0772267	39.5	60
Yale-TB188	1.0	NC_000962.3	1	4411532	6611	494682	11.2134	0.200959	39.5	60
Yale-TB189	1.0	NC_000962.3	1	4411532	55830	2695505	61.1013	1.69644	39.6	60
Yale-TB190	1.0	NC_000962.3	1	4411532	9676	671789	15.228	0.290038	39.5	60
