strain	study	continent	region	lineage	spoligotype	res_profile	INH	STR	RIF	EMB	ETH	PZA	OFL	KAN	num_res	country	date
ERR550724	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR550887	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR551159	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Uzbekistan	2004-XX-XX
ERR551305	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR551360	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR551494	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Turkmenistan	2002-XX-XX
ERR551556	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR551638	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2004-XX-XX
ERR551772	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Kazakhstan	2002-XX-XX
ERR551804	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR551822	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR551945	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
