,strain,study,continent,region,lineage,spoligotype,res_profile,INH,STR,RIF,EMB,ETH,PZA,OFL,KAN,num_res,country,date,Original_ID,Sample_Type,Sample_source,CT,starting_quant,Primer_Conc,NGS_Run_ID,numreads,covbases,coverage,meandepth,mykrobe_lineage,Template_dilution,Amikacin,Capreomycin,Ciprofloxacin,Delamanid,Levofloxacin,Linezolid,Moxifloxacin,NA
1,ERR550724,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ERR550887,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ERR551159,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,0,0,0,0,0,3,Uzbekistan,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ERR551305,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ERR551360,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ERR551494,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,0,0,0,0,0,3,Turkmenistan,2002-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ERR551556,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ERR551638,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ERR551772,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Kazakhstan,2002-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ERR551804,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
