sample_name,tax_id,genus_name,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
Yale-TB211,300,Pseudomonas,Pseudomonas mendocina,,59.0,11.3213,,94.0,18.0374,
Yale-TB211,303,Pseudomonas,Pseudomonas putida,,107.0,20.5319,,2000.0,383.774,
Yale-TB211,1747,Cutibacterium,Cutibacterium acnes,,30.0,5.7566,,333.0,63.8984,
Yale-TB211,544580,Actinomyces,Actinomyces oris,,96373.0,18492.7,,133235.0,25566.1,
Yale-TB211,43675,Rothia,Rothia mucilaginosa,,35837.0,6876.66,,19719.0,3783.82,
Yale-TB211,480,Moraxella,Moraxella catarrhalis,,0,0,,2.0,0.3838,
Yale-TB211,488,Neisseria,Neisseria mucosa,,878.0,168.477,,376.0,72.1495,
Yale-TB211,1773,Mycobacterium,Mycobacterium tuberculosis,,25109.0,4818.09,,25644.0,4920.75,
Yale-TB211,158836,Enterobacter,Enterobacter hormaechei,,0,0,,14.0,2.6864,
Yale-TB211,190721,Ralstonia,Ralstonia insidiosa,,2.0,0.3838,,3.0,0.5757,
Yale-TB211,1177574,Prevotella,Prevotella jejuni,,113.0,21.6832,,32.0,6.1404,
Yale-TB211,216816,Bifidobacterium,Bifidobacterium longum,,23.0,4.4134,,378.0,72.5333,
Yale-TB211,28037,Streptococcus,Streptococcus mitis,,8683.0,1666.16,,8879.0,1703.77,
Yale-TB211,706438,Actinomyces,Actinomyces sp. oral taxon 171,,8723.0,1673.83,,4557.0,874.429,
Yale-TB211,1655,Actinomyces,Actinomyces naeslundii,,13567.0,2603.33,,26752.0,5133.36,
Yale-TB211,216778,Stenotrophomonas,Stenotrophomonas rhizophila,,6.0,1.1513,,0,0,
Yale-TB211,712623,Streptococcus,Streptococcus sp. oral taxon 061,,519.0,99.5894,,11.0,2.1108,
Yale-TB211,484,Neisseria,Neisseria flavescens,,15.0,2.8783,,213.0,40.872,
Yale-TB211,1660,Schaalia,Schaalia odontolytica,,13051.0,2504.32,,3959.0,759.681,
Yale-TB211,55565,Actinomyces,Actinomyces graevenitzii,,50.0,9.5944,,80.0,15.351,
Yale-TB211,200451,Pseudomonas,Pseudomonas poae,,0,0,,1.0,0.1919,
Yale-TB211,29466,Veillonella,Veillonella parvula,,2138.0,410.255,,886.0,170.012,
Yale-TB211,2789425,Actinomyces,Actinomyces sp. HMT 175,,4081.0,783.091,,559.0,107.265,
Yale-TB211,2832643,"",Caudoviricetes sp.,,2992.0,574.126,,2417.0,463.791,
Yale-TB211,38284,Corynebacterium,Corynebacterium accolens,,30.0,5.7566,,16.0,3.0702,
Yale-TB211,172042,Rothia,Rothia aeria,,669.0,128.372,,499.0,95.7517,
Yale-TB211,1303,Streptococcus,Streptococcus oralis,,26889.0,5159.65,,19987.0,3835.25,
Yale-TB211,28449,Neisseria,Neisseria subflava,,196.0,37.6099,,138.0,26.4804,
Yale-TB211,77133,"",uncultured bacterium,,600.0,115.132,,298.0,57.1824,
Yale-TB211,712116,Actinomyces,Actinomyces sp. oral taxon 169,,142392.0,27323.2,,25627.0,4917.49,
Yale-TB211,1056807,Morococcus,Morococcus cerebrosus,,283.0,54.304,,120.0,23.0265,
Yale-TB211,287,Pseudomonas,Pseudomonas aeruginosa,,292407.0,56109.1,,269685.0,51749.1,
Yale-TB211,78331,Mycobacterium,Mycobacterium canetti,,79.0,15.1591,,52.0,9.9781,
Yale-TB211,161899,Corynebacterium,Corynebacterium singulare,,4.0,0.7675,,3.0,0.5757,
Yale-TB211,641148,Neisseria,Neisseria sp. oral taxon 014,,76.0,14.5834,,193.0,37.0342,
