Sample_ID	Pathogen	Template_Dilution	Assay	FAM_Target	FAM_Ct	Cy5_Target	Cy5_Ct	starting_quantity	Run_ID	Run_Date	Notes
A889-CE	ST3		ST3_Dual-Target	LytA	26.34	PiaB	26.79		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B042-CE	ST3		ST3_Dual-Target	LytA	28.03	PiaB	28.50		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
C677-CE	ST3		ST3_Dual-Target	LytA	25.14	PiaB	26.65		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1526-CE	ST3		ST3_Dual-Target	LytA	31.18	PiaB	32.19		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1695-CE	ST3		ST3_Dual-Target	LytA	32.30	PiaB	33.12		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W3317-CE	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W3371-CE	ST3		ST3_Dual-Target	LytA	27.17	PiaB	27.89		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W4034-CE	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
A889-S	ST3		ST3_Dual-Target	LytA	27.68	PiaB	28.52		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B042-S	ST3		ST3_Dual-Target	LytA	32.76	PiaB	32.92		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
C677-S	ST3		ST3_Dual-Target	LytA	30.46	PiaB	29.86		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1526-S	ST3		ST3_Dual-Target	LytA	37.25	PiaB	37.51		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1527-S	ST3		ST3_Dual-Target	LytA	NaN	PiaB	37.51		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1695-S	ST3		ST3_Dual-Target	LytA	39.06	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W3317-S	ST3		ST3_Dual-Target	LytA	33.55	PiaB	33.49		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W3371-S	ST3		ST3_Dual-Target	LytA	37.62	PiaB	37.48		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W4034-S	ST3		ST3_Dual-Target	LytA	35.29	PiaB	35.82		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
A889-NP	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B042-NP	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
C677-NP	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1527-CI	ST3		ST3_Dual-Target	LytA	15.26	PiaB	14.80		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W3317-CI	ST3		ST3_Dual-Target	LytA	14.93	PiaB	14.14		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W4034-CI	ST3		ST3_Dual-Target	LytA	17.15	PiaB	17.31		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B013-D	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B015-D	ST3		ST3_Dual-Target	LytA	32.31	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B095-D	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1075-D	ST3		ST3_Dual-Target	LytA	33.12	PiaB	33.38		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1527-D	ST3		ST3_Dual-Target	LytA	NaN	PiaB	35.71		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W2987-D	ST3		ST3_Dual-Target	LytA	32.01	PiaB	33.45		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W3317-D	ST3		ST3_Dual-Target	LytA	37.47	PiaB	30.87		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B013-S	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B595-S	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B015-S	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W2987-S	ST3		ST3_Dual-Target	LytA	39.84	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B687-S	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
W1075-S	ST3		ST3_Dual-Target	LytA	NaN	PiaB	38.60		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B015-NP	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
B687-NP	ST3		ST3_Dual-Target	LytA	NaN	PiaB	NaN		s.pneumo_test1	2023-10-27	Default software thresholds used (no standards/pos controls)
