"sample","drug","susceptibility","variants (dna_variant-AA_variant:ref_kmer_count:alt_kmer_count:conf) [use --format json for more info]","genes (prot_mut-ref_mut:percent_covg:depth) [use --format json for more info]","mykrobe_version","files","probe_sets","genotype_model","kmer_size","phylo_group","species","lineage","phylo_group_per_covg","species_per_covg","lineage_per_covg","phylo_group_depth","species_depth","lineage_depth"
"Yale-TB001","Amikacin","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Capreomycin","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Ciprofloxacin","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Delamanid","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Ethambutol","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Ethionamide","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Isoniazid","R","katG_S315T-GCT2155167GGT:0:2336:15080","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Kanamycin","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Levofloxacin","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
"Yale-TB001","Linezolid","S","","","v0.13.0","results/rawdata/Yale-TB001_R1.fastq.gz;results/rawdata/Yale-TB001_R2.fastq.gz","/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-species-202309.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-probe-set-202206.fasta.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb.lineage.20200930.probes.fa.gz;/opt/conda/lib/python3.9/site-packages/mykrobe/data/tb/tb-lineage-bcg-rd1.fasta.gz","kmer_count","21","Mycobacterium_tuberculosis_complex","Mycobacterium_tuberculosis","lineage4.2.1","99.618","90.359","NA","134.0","137","NA"
