resistance	gene	111-10300-18	444-3403-18	111-5264-18	111-10712-18	111-2565-18	444-2261-18	444-2281-18	444-2588-18
Isoniazid	ahpC	153	114	49	249	81	213	316	163
Isoniazid	fabG1	893	929	170	971	368	967	1350	1099
Isoniazid	inhA	183	134	59	291	92	244	357	194
Isoniazid	katG	219	204	70	276	120	281	400	222
Isoniazid	ndh	548	471	137	643	244	815	979	477
Rifampicin	rpoB	482	627	197	790	394	1241	1405	817
Pyrazinamide	pncA	2632	2205	593	2170	972	2570	2706	1338
Pyrazinamide	rpsA	201	126	74	249	110	367	329	177
Ethambutol	embA	255	267	113	412	175	480	561	282
Ethambutol	embB	562	424	185	680	203	446	597	316
Quinolones	gyrA	6701	4010	1065	3383	931	2744	3695	2053
Levofloxacin,Moxifloxacin	gyrB	2308	1411	239	876	237	861	1196	592
Kanamycin	eis	543	606	105	372	202	271	295	167
Capreomycin	gid	143	100	51	166	69	168	191	110
Capreomycin	tlyA	682	621	247	883	405	1035	1121	600
Delamanid	ddn	720	667	247	602	295	647	675	346
Ethionamide	ethA	1306	1507	176	717	217	708	1272	636
Linezolid	rplC	236	250	83	287	165	402	382	205
Streptomycin	rpsL	39	18	27	83	32	68	113	51
