sample	name	start	end	depth
Yale-TB001	MTB000019	1473245	1473331	97
Yale-TB001	MTB000020	1473657	1476796	108
Yale-TB001	Rv0005	6571	6762	87
Yale-TB001	Rv0006	7360	7583	1092
Yale-TB001	Rv0407	490733	491794	105
Yale-TB001	Rv0667	760307	761286	357
Yale-TB001	Rv0676c	775585	778906	261
Yale-TB001	Rv0678	778906	779488	114
Yale-TB001	Rv0701	800793	801462	122
Yale-TB001	Rv1173	1302805	1305502	307
Yale-TB001	Rv1305	1460997	1461291	91
Yale-TB001	Rv1483	1673409	1675012	204
Yale-TB001	Rv1694	1917939	1918747	508
Yale-TB001	Rv1908c	2153888	2156112	170
Yale-TB001	Rv2043c	2288676	2289272	984
Yale-TB001	Rv2416c	2714123	2715372	727
Yale-TB001	Rv2428	2726093	2726194	322
Yale-TB001	Rv2535c	2859299	2860451	187
Yale-TB001	Rv2983	3339068	3339763	388
Yale-TB001	Rv3261	3640493	3642882	177
Yale-TB001	Rv3547	3986794	3987300	248
Yale-TB001	Rv3795	4246586	4249653	212
Yale-TB001	Rv3854c	4326003	4327548	297
Yale-TB002	MTB000019	1473245	1473331	82
Yale-TB002	MTB000020	1473657	1476796	47
Yale-TB002	Rv0005	6571	6762	57
Yale-TB002	Rv0006	7360	7583	2037
Yale-TB002	Rv0407	490733	491794	213
Yale-TB002	Rv0667	760307	761286	427
Yale-TB002	Rv0676c	775585	778906	335
Yale-TB002	Rv0678	778906	779488	106
Yale-TB002	Rv0701	800793	801462	229
Yale-TB002	Rv1173	1302805	1305502	298
Yale-TB002	Rv1305	1460997	1461291	37
Yale-TB002	Rv1483	1673409	1675012	230
Yale-TB002	Rv1694	1917939	1918747	451
Yale-TB002	Rv1908c	2153888	2156112	167
Yale-TB002	Rv2043c	2288676	2289272	1958
Yale-TB002	Rv2416c	2714123	2715372	478
Yale-TB002	Rv2428	2726093	2726194	410
Yale-TB002	Rv2535c	2859299	2860451	130
Yale-TB002	Rv2983	3339068	3339763	466
Yale-TB002	Rv3261	3640493	3642882	185
Yale-TB002	Rv3547	3986794	3987300	436
Yale-TB002	Rv3795	4246586	4249653	242
Yale-TB002	Rv3854c	4326003	4327548	618
Yale-TB003	MTB000019	1473245	1473331	137
Yale-TB003	MTB000020	1473657	1476796	82
Yale-TB003	Rv0005	6571	6762	51
Yale-TB003	Rv0006	7360	7583	2301
Yale-TB003	Rv0407	490733	491794	846
Yale-TB003	Rv0667	760307	761286	981
Yale-TB003	Rv0676c	775585	778906	575
Yale-TB003	Rv0678	778906	779488	98
Yale-TB003	Rv0701	800793	801462	237
Yale-TB003	Rv1173	1302805	1305502	646
Yale-TB003	Rv1305	1460997	1461291	102
Yale-TB003	Rv1483	1673409	1675012	531
Yale-TB003	Rv1694	1917939	1918747	681
Yale-TB003	Rv1908c	2153888	2156112	219
Yale-TB003	Rv2043c	2288676	2289272	2496
Yale-TB003	Rv2416c	2714123	2715372	566
Yale-TB003	Rv2428	2726093	2726194	395
Yale-TB003	Rv2535c	2859299	2860451	113
Yale-TB003	Rv2983	3339068	3339763	672
Yale-TB003	Rv3261	3640493	3642882	310
Yale-TB003	Rv3547	3986794	3987300	701
Yale-TB003	Rv3795	4246586	4249653	598
Yale-TB003	Rv3854c	4326003	4327548	1245
Yale-TB004	MTB000019	1473245	1473331	101
Yale-TB004	MTB000020	1473657	1476796	66
Yale-TB004	Rv0005	6571	6762	41
Yale-TB004	Rv0006	7360	7583	784
Yale-TB004	Rv0407	490733	491794	998
Yale-TB004	Rv0667	760307	761286	899
Yale-TB004	Rv0676c	775585	778906	615
Yale-TB004	Rv0678	778906	779488	71
Yale-TB004	Rv0701	800793	801462	195
Yale-TB004	Rv1173	1302805	1305502	729
Yale-TB004	Rv1305	1460997	1461291	78
Yale-TB004	Rv1483	1673409	1675012	532
Yale-TB004	Rv1694	1917939	1918747	572
Yale-TB004	Rv1908c	2153888	2156112	190
Yale-TB004	Rv2043c	2288676	2289272	1860
Yale-TB004	Rv2416c	2714123	2715372	489
Yale-TB004	Rv2428	2726093	2726194	275
Yale-TB004	Rv2535c	2859299	2860451	89
Yale-TB004	Rv2983	3339068	3339763	456
Yale-TB004	Rv3261	3640493	3642882	252
Yale-TB004	Rv3547	3986794	3987300	462
Yale-TB004	Rv3795	4246586	4249653	529
Yale-TB004	Rv3854c	4326003	4327548	1296
Yale-TB005	MTB000019	1473245	1473331	25
Yale-TB005	MTB000020	1473657	1476796	24
Yale-TB005	Rv0005	6571	6762	31
Yale-TB005	Rv0006	7360	7583	299
Yale-TB005	Rv0407	490733	491794	498
Yale-TB005	Rv0667	760307	761286	631
Yale-TB005	Rv0676c	775585	778906	367
Yale-TB005	Rv0678	778906	779488	41
Yale-TB005	Rv0701	800793	801462	93
Yale-TB005	Rv1173	1302805	1305502	529
Yale-TB005	Rv1305	1460997	1461291	34
Yale-TB005	Rv1483	1673409	1675012	377
Yale-TB005	Rv1694	1917939	1918747	366
Yale-TB005	Rv1908c	2153888	2156112	105
Yale-TB005	Rv2043c	2288676	2289272	1156
Yale-TB005	Rv2416c	2714123	2715372	319
Yale-TB005	Rv2428	2726093	2726194	185
Yale-TB005	Rv2535c	2859299	2860451	70
Yale-TB005	Rv2983	3339068	3339763	223
Yale-TB005	Rv3261	3640493	3642882	155
Yale-TB005	Rv3547	3986794	3987300	256
Yale-TB005	Rv3795	4246586	4249653	289
Yale-TB005	Rv3854c	4326003	4327548	922
Yale-TB006	MTB000019	1473245	1473331	29
Yale-TB006	MTB000020	1473657	1476796	27
Yale-TB006	Rv0005	6571	6762	71
Yale-TB006	Rv0006	7360	7583	3330
Yale-TB006	Rv0407	490733	491794	357
Yale-TB006	Rv0667	760307	761286	712
Yale-TB006	Rv0676c	775585	778906	484
Yale-TB006	Rv0678	778906	779488	131
Yale-TB006	Rv0701	800793	801462	318
Yale-TB006	Rv1173	1302805	1305502	399
Yale-TB006	Rv1305	1460997	1461291	76
Yale-TB006	Rv1483	1673409	1675012	281
Yale-TB006	Rv1694	1917939	1918747	537
Yale-TB006	Rv1908c	2153888	2156112	187
Yale-TB006	Rv2043c	2288676	2289272	2846
Yale-TB006	Rv2416c	2714123	2715372	579
Yale-TB006	Rv2428	2726093	2726194	472
Yale-TB006	Rv2535c	2859299	2860451	141
Yale-TB006	Rv2983	3339068	3339763	654
Yale-TB006	Rv3261	3640493	3642882	233
Yale-TB006	Rv3547	3986794	3987300	660
Yale-TB006	Rv3795	4246586	4249653	328
Yale-TB006	Rv3854c	4326003	4327548	739
Yale-TB007	MTB000019	1473245	1473331	109
Yale-TB007	MTB000020	1473657	1476796	70
Yale-TB007	Rv0005	6571	6762	87
Yale-TB007	Rv0006	7360	7583	2093
Yale-TB007	Rv0407	490733	491794	948
Yale-TB007	Rv0667	760307	761286	888
Yale-TB007	Rv0676c	775585	778906	647
Yale-TB007	Rv0678	778906	779488	128
Yale-TB007	Rv0701	800793	801462	326
Yale-TB007	Rv1173	1302805	1305502	603
Yale-TB007	Rv1305	1460997	1461291	166
Yale-TB007	Rv1483	1673409	1675012	475
Yale-TB007	Rv1694	1917939	1918747	518
Yale-TB007	Rv1908c	2153888	2156112	276
Yale-TB007	Rv2043c	2288676	2289272	1639
Yale-TB007	Rv2416c	2714123	2715372	546
Yale-TB007	Rv2428	2726093	2726194	496
Yale-TB007	Rv2535c	2859299	2860451	138
Yale-TB007	Rv2983	3339068	3339763	566
Yale-TB007	Rv3261	3640493	3642882	300
Yale-TB007	Rv3547	3986794	3987300	645
Yale-TB007	Rv3795	4246586	4249653	500
Yale-TB007	Rv3854c	4326003	4327548	1129
Yale-TB008	MTB000019	1473245	1473331	167
Yale-TB008	MTB000020	1473657	1476796	66
Yale-TB008	Rv0005	6571	6762	53
Yale-TB008	Rv0006	7360	7583	704
Yale-TB008	Rv0407	490733	491794	757
Yale-TB008	Rv0667	760307	761286	1101
Yale-TB008	Rv0676c	775585	778906	654
Yale-TB008	Rv0678	778906	779488	93
Yale-TB008	Rv0701	800793	801462	251
Yale-TB008	Rv1173	1302805	1305502	742
Yale-TB008	Rv1305	1460997	1461291	70
Yale-TB008	Rv1483	1673409	1675012	511
Yale-TB008	Rv1694	1917939	1918747	620
Yale-TB008	Rv1908c	2153888	2156112	204
Yale-TB008	Rv2043c	2288676	2289272	2087
Yale-TB008	Rv2416c	2714123	2715372	622
Yale-TB008	Rv2428	2726093	2726194	358
Yale-TB008	Rv2535c	2859299	2860451	102
Yale-TB008	Rv2983	3339068	3339763	497
Yale-TB008	Rv3261	3640493	3642882	256
Yale-TB008	Rv3547	3986794	3987300	649
Yale-TB008	Rv3795	4246586	4249653	450
Yale-TB008	Rv3854c	4326003	4327548	1435
Yale-TB009	MTB000019	1473245	1473331	75
Yale-TB009	MTB000020	1473657	1476796	59
Yale-TB009	Rv0005	6571	6762	24
Yale-TB009	Rv0006	7360	7583	436
Yale-TB009	Rv0407	490733	491794	1106
Yale-TB009	Rv0667	760307	761286	1258
Yale-TB009	Rv0676c	775585	778906	717
Yale-TB009	Rv0678	778906	779488	58
Yale-TB009	Rv0701	800793	801462	203
Yale-TB009	Rv1173	1302805	1305502	719
Yale-TB009	Rv1305	1460997	1461291	112
Yale-TB009	Rv1483	1673409	1675012	415
Yale-TB009	Rv1694	1917939	1918747	560
Yale-TB009	Rv1908c	2153888	2156112	189
Yale-TB009	Rv2043c	2288676	2289272	2505
Yale-TB009	Rv2416c	2714123	2715372	616
Yale-TB009	Rv2428	2726093	2726194	315
Yale-TB009	Rv2535c	2859299	2860451	85
Yale-TB009	Rv2983	3339068	3339763	546
Yale-TB009	Rv3261	3640493	3642882	233
Yale-TB009	Rv3547	3986794	3987300	665
Yale-TB009	Rv3795	4246586	4249653	469
Yale-TB009	Rv3854c	4326003	4327548	1604
Yale-TB010	MTB000019	1473245	1473331	42
Yale-TB010	MTB000020	1473657	1476796	32
Yale-TB010	Rv0005	6571	6762	65
Yale-TB010	Rv0006	7360	7583	283
Yale-TB010	Rv0407	490733	491794	1012
Yale-TB010	Rv0667	760307	761286	678
Yale-TB010	Rv0676c	775585	778906	543
Yale-TB010	Rv0678	778906	779488	59
Yale-TB010	Rv0701	800793	801462	84
Yale-TB010	Rv1173	1302805	1305502	598
Yale-TB010	Rv1305	1460997	1461291	122
Yale-TB010	Rv1483	1673409	1675012	445
Yale-TB010	Rv1694	1917939	1918747	300
Yale-TB010	Rv1908c	2153888	2156112	145
Yale-TB010	Rv2043c	2288676	2289272	1099
Yale-TB010	Rv2416c	2714123	2715372	306
Yale-TB010	Rv2428	2726093	2726194	192
Yale-TB010	Rv2535c	2859299	2860451	73
Yale-TB010	Rv2983	3339068	3339763	162
Yale-TB010	Rv3261	3640493	3642882	147
Yale-TB010	Rv3547	3986794	3987300	213
Yale-TB010	Rv3795	4246586	4249653	292
Yale-TB010	Rv3854c	4326003	4327548	1198
Yale-TB011	MTB000019	1473245	1473331	0
Yale-TB011	MTB000020	1473657	1476796	0
Yale-TB011	Rv0005	6571	6762	0
Yale-TB011	Rv0006	7360	7583	0
Yale-TB011	Rv0407	490733	491794	0
Yale-TB011	Rv0667	760307	761286	0
Yale-TB011	Rv0676c	775585	778906	0
Yale-TB011	Rv0678	778906	779488	0
Yale-TB011	Rv0701	800793	801462	0
Yale-TB011	Rv1173	1302805	1305502	0
Yale-TB011	Rv1305	1460997	1461291	0
Yale-TB011	Rv1483	1673409	1675012	0
Yale-TB011	Rv1694	1917939	1918747	0
Yale-TB011	Rv1908c	2153888	2156112	0
Yale-TB011	Rv2043c	2288676	2289272	0
Yale-TB011	Rv2416c	2714123	2715372	0
Yale-TB011	Rv2428	2726093	2726194	0
Yale-TB011	Rv2535c	2859299	2860451	0
Yale-TB011	Rv2983	3339068	3339763	0
Yale-TB011	Rv3261	3640493	3642882	0
Yale-TB011	Rv3547	3986794	3987300	0
Yale-TB011	Rv3795	4246586	4249653	0
