resistance	gene	Peru-41	Peru-42	Peru-43	Peru-44	Peru-45	Peru-46	Peru-47	Peru-48	Peru-49	Peru-50
Isoniazid	ahpC	13	242	97	196	148	0	4	151	136	90
Isoniazid	fabG1	23	445	217	459	325	2	8	311	300	213
Isoniazid	inhA	12	312	158	329	219	1	3	238	208	140
Isoniazid	katG	9	280	110	258	206	0	4	186	162	124
Isoniazid	ndh	65	645	256	498	352	0	5	495	352	235
Rifampicin	rpoB	27	465	204	480	384	2	175	470	348	201
Pyrazinamide	pncA	171	1609	718	1175	664	15	12	1526	952	594
Pyrazinamide	rpsA	8	454	235	12360	4823	17	23122	1414	1933	1153
Ethambutol	embA	9	335	117	315	233	1	6	232	231	122
Ethambutol	embB	50	500	170	471	310	7	5	352	410	177
Quinolones	gyrA	3650	4399	2665	4741	1959	1091	69	5471	4312	1730
Levofloxacin,Moxifloxacin	gyrB	1724	2237	835	1974	847	34	6	2329	1922	573
Kanamycin	eis	38	508	260	457	280	2	5	406	319	198
Capreomycin	gid	21	268	113	196	144	0	4	179	213	116
Capreomycin	tlyA	32	378	147	367	234	8	4	335	244	152
Delamanid	ddn	17	689	199	556	366	1	6	532	482	207
Ethionamide	ethA	179	848	314	645	370	9	6	644	568	221
Linezolid	rplC	4	416	166	348	215	0	4	353	255	156
Streptomycin	rpsL	13	32	15	44	37	0	53	11	31	18
